Category,Tool,Latest Version,License,Stage
"Build, Test, Deploy",Airtap,4.0.4,MIT,Approved
"Build, Test, Deploy",Amazon EC2 Container Service,,,Approved
"Build, Test, Deploy",andrewsville/php-token-reflection,1.4.0,,
"Build, Test, Deploy",Angular,v1.8.3,,
"Build, Test, Deploy",angular-foundation,v0.8.0,,
"Build, Test, Deploy",angular-mocks,v1.8.0,,
"Build, Test, Deploy",angular-sanitize,v1.8.2,,
"Build, Test, Deploy",anhskohbo/no-captcha,3.3.0,,
"Build, Test, Deploy",Ansible,2.17.2,GPL-3.0,Approved
"Build, Test, Deploy",Apache Ant,,,Approved
"Build, Test, Deploy",Apache Maven,3.9.8,Apache-2.0,Approved
"Build, Test, Deploy",Appium,3.2.2,Apache-2.0,Approved
"Build, Test, Deploy",Atom,1.63.1,MIT,Approved
"Build, Test, Deploy",Autofac,8.0.0,MIT,Approved
"Build, Test, Deploy",AWS Amplify,2.0.6,Apache-2.0,Approved
"Build, Test, Deploy",AWS CloudFormation,,,Approved
"Build, Test, Deploy",AWS CodeBuild,,,Trial
"Build, Test, Deploy",AWS Elastic Load Balancing (ELB),,,Approved
"Build, Test, Deploy",AWS Fargate,,,Approved
"Build, Test, Deploy",aws/aws-sdk-php,3.287.0,,
"Build, Test, Deploy",Azure DevOps,,,Approved
"Build, Test, Deploy",Azure Pipelines,,,Approved
"Build, Test, Deploy",Babel,7.22.9,MIT,Approved
"Build, Test, Deploy",barryvdh/laravel-ide-helper,v2.12.3,,
"Build, Test, Deploy",beberlei/DoctrineExtensions,v1.2.1,,
"Build, Test, Deploy",Behat,3.14.0,MIT,Restricted
"Build, Test, Deploy",behat/behat,v3.13.0,,
"Build, Test, Deploy",beyondcode/laravel-dump-server,1.6.0,,
"Build, Test, Deploy",blueimp-canvas-to-blob,v3.29.0,,
"Build, Test, Deploy",blueimp-load-image,v5.16.0,,
"Build, Test, Deploy",blueimp-tmpl,v3.20.0,,
"Build, Test, Deploy",Bootstrap,v5.3.1,,
"Build, Test, Deploy",bower,,,
"Build, Test, Deploy",bower,1.8.14,MIT,Approved
"Build, Test, Deploy",Brackets,1.14.2,MIT,
"Build, Test, Deploy",brain/monkey,2.4.2,,
"Build, Test, Deploy",Broccoli,,MIT,Prohibited
"Build, Test, Deploy",Browserify,,MIT,Approved
"Build, Test, Deploy",BrowserStack,,,Prohibited
"Build, Test, Deploy",Bundler,,,Restricted
"Build, Test, Deploy",cartalyst/stripe,v2.4.4,,
"Build, Test, Deploy",cartalyst/stripe-laravel,v14.0.0,,
"Build, Test, Deploy",Castle Windsor,6.0.0,Apache-2.0,Restricted
"Build, Test, Deploy",Chai,5.1.1,MIT,Approved
"Build, Test, Deploy",Chai,v5.0.0-alpha.1,,
"Build, Test, Deploy",charset-normalizer,3.3.2,,
"Build, Test, Deploy",Checkstyle,,LGPL-2.1,Restricted
"Build, Test, Deploy",chef,15.8.23,Apache-2.0,Approved
"Build, Test, Deploy",chromadb,0.4.18,,
"Build, Test, Deploy",Chromeless,1.5.2,MIT,Approved
"Build, Test, Deploy",CircleCI,,,Trial
"Build, Test, Deploy",Closure Compiler,,Apache-2.0,Approved
"Build, Test, Deploy",Codacy,,,Restricted
"Build, Test, Deploy",Code Climate,,,Trial
"Build, Test, Deploy",Codeception,,,Restricted
"Build, Test, Deploy",CodeceptJS,3.6.5,MIT,
"Build, Test, Deploy",codecov,,,Restricted
"Build, Test, Deploy",CodeMirror,5.65.17,MIT,Restricted
"Build, Test, Deploy",component,,MIT,Approved
"Build, Test, Deploy",components/bootstrap,4.6.2,,
"Build, Test, Deploy",components/jquery,v3.7.1,,
"Build, Test, Deploy",Composer,2.7.7,MIT,Restricted
"Build, Test, Deploy",composer/ca-bundle,1.3.7,,
"Build, Test, Deploy",composer/composer,2.6.5,,
"Build, Test, Deploy",composer/installers,v2.2.0,,
"Build, Test, Deploy",composer/semver,3.3.2,,
"Build, Test, Deploy",composer/xdebug-handler,3.0.3,,
"Build, Test, Deploy",Consul,1.19.1,MPL-2.0,Approved
"Build, Test, Deploy",coveralls,,,Restricted
"Build, Test, Deploy",craue/formflow-bundle,3.6.0,,
"Build, Test, Deploy",Cucumber,22.0.0,MIT,Approved
"Build, Test, Deploy",Cypress,13.13.2,MIT,Approved
"Build, Test, Deploy",datatables-plugins,1.13.6,,
"Build, Test, Deploy",dealerdirect/phpcodesniffer-composer-installer,v0.7.2,,
"Build, Test, Deploy",Deco,0.7.1,AGPL-3.0,
"Build, Test, Deploy",Docker,27.1.1,Apache-2.0,Approved
"Build, Test, Deploy",Docker Compose,2.29.1,Apache-2.0,Approved
"Build, Test, Deploy",doctrine/coding-standard,12.0.0,,
"Build, Test, Deploy",doctrine/common,3.4.3,,
"Build, Test, Deploy",doctrine/couchdb,2.0.0-alpha1,,
"Build, Test, Deploy",doctrine/dbal,3.7.2,,
"Build, Test, Deploy",doctrine/doctrine-bundle,2.11.0,,
"Build, Test, Deploy",doctrine/doctrine-migrations-bundle,3.2.2,,
"Build, Test, Deploy",doctrine/instantiator,2.0.0,,
"Build, Test, Deploy",doctrine/lexer,3.0.0,,
"Build, Test, Deploy",doctrine/migrations,3.7.1,,
"Build, Test, Deploy",doctrine/orm,2.17.1,,
"Build, Test, Deploy",dompdf/dompdf,v2.0.3,,
"Build, Test, Deploy",dotenv,16.4.5,BSD-2-Clause,Approved
"Build, Test, Deploy",dragonmantank/cron-expression,v3.3.3,,
"Build, Test, Deploy",Drone.io,,,Restricted
"Build, Test, Deploy",EarlGrey,2.2.2,Apache-2.0,Restricted
"Build, Test, Deploy",easycorp/easyadmin-bundle,v4.8.5,,
"Build, Test, Deploy",Eclipse,,,Approved
"Build, Test, Deploy",EditorConfig,,,Restricted
"Build, Test, Deploy",egulias/email-validator,4.0.2,,
"Build, Test, Deploy",elasticsearch/elasticsearch,v8.11.0,,
"Build, Test, Deploy",endroid/qr-code,5.0.2,,
"Build, Test, Deploy",Enzyme,3.11.0,MIT,Restricted
"Build, Test, Deploy",es5-shim,v4.6.7,,
"Build, Test, Deploy",Esbuild,0.23.0,MIT,Approved
"Build, Test, Deploy",eslint,9.2.0,MIT,Approved
"Build, Test, Deploy",eslint-config-next,14.2.3,,
"Build, Test, Deploy",EventBus,3.3.1,Apache-2.0,Prohibited
"Build, Test, Deploy",exceptiongroup,1.2.0,,
"Build, Test, Deploy",Expose,2.6.2,MIT,
"Build, Test, Deploy",ezyang/htmlpurifier,v4.17.0,,
"Build, Test, Deploy",Fabric,2.6.0,BSD-2-Clause,Prohibited
"Build, Test, Deploy",fastclick,v1.0.6,,
"Build, Test, Deploy",fastlane,2.222.0,MIT,Approved
"Build, Test, Deploy",fideloper/proxy,4.4.1,,
"Build, Test, Deploy",filp/whoops,2.15.4,,
"Build, Test, Deploy",FindBugs,,,Restricted
"Build, Test, Deploy",firebase/php-jwt,v6.9.0,,
"Build, Test, Deploy",flake8,,,Approved
"Build, Test, Deploy",FontAwesome,6.4.2,,
"Build, Test, Deploy",foundation,5.5.3,,
"Build, Test, Deploy",friendsofphp/php-cs-fixer,v3.38.2,,
"Build, Test, Deploy",friendsofsymfony/ckeditor-bundle,2.3.0,,
"Build, Test, Deploy",friendsofsymfony/user-bundle,v3.2.1,,
"Build, Test, Deploy",fzaninotto/faker,v1.9.1,,
"Build, Test, Deploy",giggsey/libphonenumber-for-php,8.13.25,,
"Build, Test, Deploy",Git,,,Approved
"Build, Test, Deploy",GitHub,,,Approved
"Build, Test, Deploy",GitHub Actions,,,Restricted
"Build, Test, Deploy",Git-Repo,,GPL-2.0,Approved
"Build, Test, Deploy",Google Cloud Build,,,Restricted
"Build, Test, Deploy",Gradle,8.9,Apache-2.0,Approved
"Build, Test, Deploy",graylog2/gelf-php,2.0.0,,
"Build, Test, Deploy",GreenKeeper,3.66.8,Apache-2.0,Approved
"Build, Test, Deploy",gregwar/captcha-bundle,v2.2.0,,
"Build, Test, Deploy",Grunt,1.6.1,,Approved
"Build, Test, Deploy",gulp,5.0.0,MIT,Approved
"Build, Test, Deploy",guzzlehttp/guzzle,7.8.0,,
"Build, Test, Deploy",guzzlehttp/promises,2.0.1,,
