Category,Tool,Latest Version,License,Stage
Libraries,babel-plugin-dev-expression,0.2.3,MIT,
Libraries,babel-plugin-dynamic-import-node,2.3.3,MIT,
Libraries,babel-plugin-emotion,11.0.0,MIT,
Libraries,babel-plugin-external-helpers,7.22.9,MIT,
Libraries,babel-plugin-flow-react-proptypes,26.0.0,MIT,
Libraries,babel-plugin-import,1.13.6,MIT,
Libraries,babel-plugin-inline-react-svg,2.0.1,MIT,
Libraries,babel-plugin-istanbul,7.0.0,BSD-3-Clause,
Libraries,babel-plugin-lodash,3.3.4,MIT,
Libraries,babel-plugin-macros,3.1.0,MIT,
Libraries,babel-plugin-module-resolver,5.0.2,MIT,
Libraries,babel-plugin-named-asset-import,5.0.1,MIT,
Libraries,babel-plugin-react-intl,8.2.25,BSD-3-Clause,
Libraries,babel-plugin-react-transform,3.0.0,MIT,
Libraries,babel-plugin-rewire,1.2.0,ISC,
Libraries,babel-plugin-root-import,6.6.0,MIT,
Libraries,babel-plugin-styled-components,2.1.4,MIT,
Libraries,babel-plugin-syntax-async-functions,7.22.9,MIT,
Libraries,babel-plugin-syntax-dynamic-import,7.22.9,MIT,
Libraries,babel-plugin-syntax-jsx,7.22.9,MIT,
Libraries,babel-plugin-syntax-object-rest-spread,7.22.9,MIT,
Libraries,babel-plugin-syntax-trailing-function-commas,7.22.9,MIT,
Libraries,babel-plugin-tester,11.0.4,MIT,
Libraries,babel-plugin-transform-async-to-generator,7.22.9,MIT,
Libraries,babel-plugin-transform-class-properties,7.22.9,MIT,
Libraries,babel-plugin-transform-decorators-legacy,1.3.5,MIT,
Libraries,babel-plugin-transform-es2015-arrow-functions,7.22.9,MIT,
Libraries,babel-plugin-transform-es2015-block-scoped-functions,7.22.9,MIT,
Libraries,babel-plugin-transform-es2015-block-scoping,7.22.9,MIT,
Libraries,babel-plugin-transform-es2015-classes,7.22.9,MIT,
Libraries,babel-plugin-transform-es2015-computed-properties,7.22.9,MIT,
Libraries,babel-plugin-transform-es2015-destructuring,7.22.9,MIT,
Libraries,babel-plugin-transform-es2015-duplicate-keys,7.22.9,MIT,
Libraries,babel-plugin-transform-es2015-for-of,7.22.9,MIT,
Libraries,babel-plugin-transform-es2015-function-name,7.22.9,MIT,
Libraries,babel-plugin-transform-es2015-literals,7.22.9,MIT,
Libraries,babel-plugin-transform-es2015-modules-amd,7.22.9,MIT,
Libraries,babel-plugin-transform-es2015-modules-commonjs,7.22.9,MIT,
Libraries,babel-plugin-transform-es2015-modules-systemjs,7.22.9,MIT,
Libraries,babel-plugin-transform-es2015-modules-umd,7.22.9,MIT,
Libraries,babel-plugin-transform-es2015-object-super,7.22.9,MIT,
Libraries,babel-plugin-transform-es2015-parameters,7.22.9,MIT,
Libraries,babel-plugin-transform-es2015-shorthand-properties,7.22.9,MIT,
Libraries,babel-plugin-transform-es2015-spread,7.22.9,MIT,
Libraries,babel-plugin-transform-es2015-sticky-regex,7.22.9,MIT,
Libraries,babel-plugin-transform-es2015-template-literals,7.22.9,MIT,
Libraries,babel-plugin-transform-es2015-typeof-symbol,7.22.9,MIT,
Libraries,babel-plugin-transform-es2015-unicode-regex,7.22.9,MIT,
Libraries,babel-plugin-transform-es3-member-expression-literals,7.22.9,MIT,
Libraries,babel-plugin-transform-es3-property-literals,7.22.9,MIT,
Libraries,babel-plugin-transform-exponentiation-operator,7.22.9,MIT,
Libraries,babel-plugin-transform-export-extensions,7.22.9,MIT,
Libraries,babel-plugin-transform-flow-strip-types,7.22.9,MIT,
Libraries,babel-plugin-transform-imports,2.0.0,ISC,
Libraries,babel-plugin-transform-object-assign,7.22.9,MIT,
Libraries,babel-plugin-transform-object-rest-spread,7.22.9,MIT,
Libraries,babel-plugin-transform-react-display-name,7.22.9,MIT,
Libraries,babel-plugin-transform-react-jsx,7.22.9,MIT,
Libraries,babel-plugin-transform-react-remove-prop-types,0.4.24,MIT,
Libraries,babel-plugin-transform-regenerator,7.22.9,MIT,
Libraries,babel-plugin-transform-remove-console,6.9.4,MIT,
Libraries,babel-plugin-transform-runtime,7.22.9,MIT,
Libraries,babel-plugin-transform-strict-mode,7.22.9,MIT,
Libraries,babel-plugin-transform-vue-jsx,4.0.1,MIT,
Libraries,babel-polyfill,7.22.9,MIT,
Libraries,babel-preset-airbnb,5.0.0,MIT,
Libraries,babel-preset-env,1.7.0,MIT,
Libraries,babel-preset-es2015,7.22.9,MIT,
Libraries,babel-preset-es2015-loose,8.0.0,MIT,
Libraries,babel-preset-es2015-rollup,3.0.0,MIT,
Libraries,babel-preset-es2017,7.22.9,MIT,
Libraries,babel-preset-flow,7.22.9,MIT,
Libraries,babel-preset-jest,29.7.0,MIT,
Libraries,babel-preset-latest,7.22.9,MIT,
Libraries,babel-preset-power-assert,3.0.0,MIT,
Libraries,babel-preset-react,7.22.9,MIT,
Libraries,babel-preset-react-app,10.0.1,MIT,
Libraries,babel-preset-react-hmre,1.1.1,ISC,
Libraries,babel-preset-react-native,5.0.2,MIT,
Libraries,babel-preset-react-optimize,1.0.1,MIT,
Libraries,babel-preset-stage-0,7.22.9,MIT,
Libraries,babel-preset-stage-1,7.22.9,MIT,
Libraries,babel-preset-stage-2,7.22.9,MIT,
Libraries,babel-preset-stage-3,7.22.9,MIT,
Libraries,babel-preset-vue,2.0.2,MIT,
Libraries,babel-register,7.22.9,MIT,
Libraries,babel-runtime,7.22.9,MIT,
Libraries,babel-tape-runner,3.0.0,MIT,
Libraries,babel-template,7.22.9,MIT,
Libraries,babel-traverse,7.22.9,MIT,
Libraries,babel-types,7.22.9,MIT,
Libraries,babicamir vpn-client aws,0.0.3,,
Libraries,babylon,7.22.9,MIT,
Libraries,backcall,0.2.0,BSD-3-Clause,
Libraries,backoff,2.2.1,MIT,
Libraries,backoff,4.1.3,MIT,
Libraries,badithala chandu2 aws,1.0.0,,
Libraries,baikonur-oss fargate-scheduled-task aws,2.0.3,MIT,
Libraries,baikonur-oss iam-nofile aws,2.0.0,MIT,
Libraries,baikonur-oss lambda-eden-api aws,0.2.0,MIT,
Libraries,baikonur-oss lambda-es-cleaner aws,2.0.1,MIT,
Libraries,baikonur-oss lambda-kinesis-forward aws,2.0.8,MIT,
Libraries,baikonur-oss lambda-kinesis-to-es aws,2.1.0,MIT,
Libraries,baikonur-oss lambda-kinesis-to-fluent aws,,MIT,
Libraries,baikonur-oss lambda-kinesis-to-s3 aws,2.1.0,MIT,
Libraries,balanced-match,3.0.1,MIT,
Libraries,bancoripleyperu cloudfront-distribution aws,,,
Libraries,bancoripleyperu vpc-securitygroup aws,,,
Libraries,banyansecurity banyan-accesstier aws,1.3.0,Apache-2.0,
Libraries,banyansecurity banyan-accesstier-ubuntu aws,,Apache-2.0,
Libraries,banyansecurity banyan-connector aws,,Apache-2.0,
Libraries,banyansecurity banyan-network aws,,Apache-2.0,
Libraries,BarefootCoders komiser-iam aws,,Apache-2.0,
Libraries,barneyparker api-dynamodb aws,,,
Libraries,barneyparker api-eventbridge aws,,,
Libraries,barneyparker api-sns aws,,,
Libraries,barneyparker api-sqs aws,,,
Libraries,barryw rds-asg aws,1.1.0,MIT,
Libraries,barryw rds-scheduler aws,1.1.0,MIT,
Libraries,barryw zookeeper aws,1.0.0,MIT,
Libraries,barundel flowlogs aws,,Apache-2.0,
Libraries,base-64,1.0.0,MIT,
Libraries,base64-js,1.5.1,MIT,
Libraries,base64url,3.0.1,MIT,
Libraries,basic,1.9.3,MIT,
Libraries,basic-auth,2.0.1,MIT,
Libraries,basisai ambassador aws,1.0.0,Apache-2.0,
Libraries,basisai billing-slack-notifier google,0.1.0,Apache-2.0,
Libraries,basisai lb-controller aws,0.4.0,Apache-2.0,
Libraries,basisai sts-csi-disks aws,,Apache-2.0,
Libraries,bayupw amazon-linux-2 aws,,Apache-2.0,
Libraries,bayupw csr1k aws,,Apache-2.0,
Libraries,bayupw fortigate-vm-for-aviatrix aws,,Apache-2.0,
Libraries,bayupw netgate-for-aviatrix aws,,Apache-2.0,
Libraries,bayupw pan-bootstrap-aviatrix aws,,Apache-2.0,
Libraries,bayupw ssm-instance-profile aws,,Apache-2.0,
Libraries,bayupw ssm-vpc-endpoint aws,,Apache-2.0,
Libraries,bbeesley lambda-do-it-all aws,4.0.2,,
Libraries,bchrobot mongodb aws,,MIT,
Libraries,bchrobot spoke aws,,MIT,
Libraries,bcrypt,,BSD-3-Clause,
Libraries,bcrypt,4.0.0,Apache-2.0,
Libraries,bcrypt,5.1.0,MIT,
Libraries,bcryptjs,2.4.3,MIT,
Libraries,bcrypt-nodejs,0.0.3,BSD-3-Clause,
Libraries,beaker,5.0.0,Apache-2.0,
Libraries,beaker-pe,3.3.0,Apache-2.0,
Libraries,beautifulsoup4,4.11.0,MIT,
Libraries,Beeani myfirsttf aws,,,
Libraries,beefy,2.1.8,MIT,
Libraries,beego,1.12.3,Other,
Libraries,beego/i18n,,Apache-2.0,
Libraries,Bee-Projects sfabric aws,,,
Libraries,Ben.Demystifier,0.4.0,Apache-2.0,
Libraries,benchmark,2.1.4,MIT,
Libraries,bendog ecs_hasura aws,,MIT,
Libraries,bendog ecs_lb aws,,,
Libraries,BengaliCrab myec2sg aws,,,
Libraries,bennesp nat-instance-setup aws,0.1.0,MIT,
Libraries,bennu k8s-dns aws,,,
Libraries,beranek1 openid-config-crawler aws,0.0.4,MIT,
Libraries,beranek1 openid-jwks-crawler aws,0.0.2,MIT,
Libraries,bergbrains arq-s3-backup aws,,,
Libraries,berkshelf,8.0.1,Apache-2.0,
Libraries,better-assert,1.0.2,MIT,
Libraries,betul-kaplan docker-ec2-instance aws,,,
Libraries,bfj,7.0.2,MIT,
Libraries,big.js,6.2.1,MIT,
Libraries,bigdecimal,3.1.8,Ruby,
Libraries,bigi,1.4.2,Other,
Libraries,big-integer,1.6.52,Unlicense,
Libraries,bignumber.js,9.1.2,MIT,
Libraries,bigquery,1.39.0,Apache-2.0,
Libraries,bili,5.0.5,MIT,
Libraries,billiard,4.2.0,BSD-3-Clause,
Libraries,billtrust billing-alarm aws,1.0.2,,
Libraries,binary,,MIT,
Libraries,binbashar backup-notifications aws,0.0.1,MIT,
Libraries,binbashar certbot-lambda aws,0.0.8,MIT,
Libraries,binbashar cost-billing-alarm aws,1.0.16,MIT,
Libraries,binbashar cost-budget aws,1.0.14,MIT,
Libraries,binbashar ec2-basic-layout aws,0.3.34,Apache-2.0,
Libraries,binbashar natgw-notifications aws,0.0.9,MIT,
Libraries,binbashar rds-export-to-s3 aws,0.4.2,,
Libraries,binbashar vpc-flowlogs aws,1.0.17,MIT,
Libraries,bincyber remote-state aws,,Apache-2.0,
Libraries,bindings,1.5.0,MIT,
Libraries,binxio ha-vpc-module aws,,Apache-2.0,
Libraries,binxio remote-state-module aws,,Apache-2.0,
Libraries,binxio snifpolgen aws,,MIT,
Libraries,birkoff lambda-function aws,1,MIT,
Libraries,birkoff lambda-scheduled-function aws,,MIT,
Libraries,bitcot react aws,,,
Libraries,bitcot wordpress-beanstalk aws,,,
Libraries,bitset,1.13.0,BSD-3-Clause,
Libraries,bl,6.0.14,MIT,
Libraries,black,24.4.2,MIT,
Libraries,blanket,1.2.3,MIT,
Libraries,bleach,5.0.1,Apache-2.0,
Libraries,bleve,2.4.2,Apache-2.0,
Libraries,blinker,1.4,MIT,
Libraries,blinkist airship-ecs-cluster aws,,MIT,
Libraries,blinkist airship-ecs-instance-draining aws,,Apache-2.0,
Libraries,blinkist airship-ecs-service aws,,MIT,
Libraries,blinkist airship-kms aws,,MIT,
Libraries,blob,,,
Libraries,blocks,0.26.0,Other,
Libraries,BlocksKit,2.2.5,,
Libraries,bluebird,3.7.2,MIT,
Libraries,bluebird,3.7.2,MIT,Restricted
Libraries,blue-tape,1.0.0,MIT,
Libraries,bluk fastmail-dns aws,0.1.0,MIT,
Libraries,bmahathi staticbucket aws,,,
Libraries,bmd queue-driven-lambda aws,,MIT,
Libraries,bn.js,5.2.1,MIT,
Libraries,body-parser,1.20.2,MIT,
Libraries,boeboe k8s-multus-gtp5g aws,,MIT,
Libraries,Bogus,35.6.0,Other,
Libraries,boldlink docdb aws,1.3.2,Apache-2.0,
Libraries,bones,3.8.4,MIT,
Libraries,bonjour,,MIT,
Libraries,boom,10.0.1,BSD-3-Clause,
Libraries,bootlabstech ec2_instance aws,,,
Libraries,bootlabstech folder-project google,,MIT,
Libraries,bootlabstech org-project google,1.0.2,MIT,
Libraries,bootlabstech s3-dummy aws,,,
Libraries,bootlabstech sql-database google,,,
Libraries,Bootstrap,5.3.3,MIT,
Libraries,Bootstrap.Datepicker,1.10.0,Apache-2.0,
Libraries,bootstrap-sass,3.4.3,MIT,
Libraries,bootstrap-vue,2.23.1,MIT,
Libraries,booyaa postgresql-read-replica azurerm,,MIT,
Libraries,BorisLabs directconnect aws,0.3.0,Apache-2.0,
Libraries,BorisLabs transfer aws,0.8.0,Apache-2.0,
Libraries,boto,2.49.0,MIT,
Libraries,boto3,1.28.14,Apache-2.0,
Libraries,botocore,1.31.14,Apache-2.0,
Libraries,BotTech codebuild-gitlab-webhook aws,,Apache-2.0,
Libraries,BotTech role aws,,Apache-2.0,
Libraries,BouncyCastle,1.8.9,,
Libraries,BouncyCastle.NetCore,1.9.0,,
Libraries,bower,1.8.14,MIT,
Libraries,bowser,2.11.0,MIT,
Libraries,boxen,7.1.0,MIT,
Libraries,boxyware-terraform-modules serverless-microservice aws,,Apache-2.0,
Libraries,bpalermo bucket aws,,Unlicense,
Libraries,brace,0.11.1,MIT,
Libraries,brace-expansion,3.0.0,MIT,
Libraries,brandonc simple-s3-cdn aws,2.0.2,,
Libraries,brantburnett autoscaling-route53-srv aws,,Apache-2.0,
Libraries,Brazzy77 mymodules aws,,,
Libraries,brfs,2.0.2,MIT,
Libraries,briancaffey ad-hoc-environments aws,0.8.0,,
Libraries,briancain helloworld aws,,,
Libraries,bridgecrewio bridgecrew-azure-read-only azurerm,0.5.7,,
Libraries,bridgecrewio bridgecrew-cloudtrail aws,1.5.2,Apache-2.0,
Libraries,bridgecrewio bridgecrew-gcp-read-only google,0.3.6,,
Libraries,bridgecrewio bridgecrew-read-only aws,1.5.9,Apache-2.0,
Libraries,bridgecrewio bridgecrew-remediation aws,0.0.11,Apache-2.0,
Libraries,bridgecrewio route53-backup-restore aws,,Apache-2.0,
Libraries,bridgecrewio secured-postgresql-rds aws,,Apache-2.0,
Libraries,briferz s3-backend-demo aws,,,
Libraries,Brindster workload-identity google,,,
Libraries,broccoli-merge-trees,4.2.0,MIT,
Libraries,browser,,BSD-2-Clause,
Libraries,Browserify,17.0.0,MIT,
Libraries,browserify-istanbul,3.0.1,MIT,
Libraries,browserify-shim,3.8.16,MIT,
Libraries,browser-request,0.3.3,Apache-2.0,
Libraries,browserslist,4.23.2,MIT,
Libraries,browser-sync,3.0.2,Apache-2.0,
Libraries,browser-sync-webpack-plugin,2.3.0,MIT,
Libraries,bryan-rhm alb-listener-rule aws,2.0.0,Apache-2.0,
Libraries,bs4,1.2.7,MIT,
Libraries,bsf:bsf,2.4.0,Apache-2.0,
Libraries,bson,5.0.1,Apache-2.0,
Libraries,bson,6.8.0,Apache-2.0,
Libraries,bsrodrigs fully-connected-vpn aws,1.0.6,,
Libraries,btoa,1.2.1,"MIT,Apache-2.0",
Libraries,btower-labz btlabz-arch-ref-asg-codebuild-module aws,,Unlicense,
Libraries,btower-labz btlabz-arch-ref-asg-codedeploy-module aws,,Unlicense,
Libraries,btower-labz btlabz-arch-ref-asg-workload-module aws,,Unlicense,
Libraries,btower-labz btlabz-arch-ref-ec2-appserver-module aws,,Unlicense,
Libraries,btower-labz btlabz-arch-ref-ec2-balancer-module aws,,Unlicense,
Libraries,btower-labz btlabz-arch-ref-ec2-codedeploy-module aws,,Unlicense,
Libraries,btower-labz btlabz-arch-ref-ec2-subzone-module aws,,Unlicense,
Libraries,btower-labz btlabz-arch-ref-ec2-workload-module aws,,Unlicense,
Libraries,btower-labz btlabz-aurora-serverless-module aws,,Unlicense,
Libraries,btower-labz btlabz-nat-base aws,1.0.0,Unlicense,
Libraries,btower-labz btlabz-pub2x-pri2x-dbs2x aws,,Unlicense,
Libraries,btower-labz btlabz-vpc-base aws,1.0.0,Unlicense,
Libraries,btree,1.1.2,Apache-2.0,
Libraries,buble,0.20.0,MIT,
Libraries,Buefy,0.9.29,MIT,Approved
Libraries,buffer,6.0.3,MIT,
Libraries,buffer-equal,1.0.1,MIT,
Libraries,bufferutil,4.0.8,MIT,
Libraries,build,,BSD-3-Clause,
Libraries,BuildBundlerMinifier,3.2.449,Other,
Libraries,builder,3.2.4,MIT,
Libraries,buildo cranehost aws,2,,
Libraries,buildo dockercomposehost aws,1.7.1,MIT,
Libraries,buildo website aws,2.0.0,Apache-2.0,
Libraries,builtin-modules,3.3.0,MIT,
Libraries,Bulma,1.0.2,MIT,
Libraries,bump,0.10.0,MIT,
Libraries,bundle-collapser,1.4.0,MIT,
Libraries,bundle-loader,0.5.6,MIT,
Libraries,Bundler,2.4.16,MIT,
Libraries,bundler-audit,0.9.0,GPL-3.0,
Libraries,bundlesize,0.18.2,MIT,
Libraries,BundleTransformer.Core,1.14.2,Apache-2.0,
Libraries,Bunyan,2.0.5,MIT,
Libraries,busboy,1.6.0,MIT,
Libraries,buster,0.8.0,BSD-3-Clause,
Libraries,bvilnis code-server aws,0.1.2,Apache-2.0,
Libraries,bwindsor public-website aws,,,
Libraries,bytejunkie storage-container azurerm,1.0.0,,
Libraries,bytes,3.1.2,MIT,
Libraries,bzip2,,,Restricted
Libraries,C3.js,,MIT,Restricted
Libraries,cac,6.7.14,MIT,
Libraries,cache-loader,4.1.0,MIT,
Libraries,CacheManager.Core,1.1.2,,
Libraries,cachetools,5.2.0,MIT,
Libraries,cageyv route53-delegate aws,,MIT,
Libraries,cairocffi,1.6.1,BSD-3-Clause,
Libraries,calidae transfer-sftp-password aws,,,
Libraries,callsite,1.0.0,MIT,
Libraries,CalvinRodo service-principle azurerm,,MIT,
Libraries,camelcase,7.0.1,MIT,
Libraries,camel-case,5.0.0,MIT,
Libraries,campaand alb-ingress-controller aws,2.0.0,,
Libraries,camptocamp openshift4 aws,,,
Libraries,camptocamp rds-nlb aws,,,
Libraries,caniuse-lite,1.0.30001617,CC-BY-4.0,
Libraries,canonical-path,1.0.0,MIT,
Libraries,Canvas,2.11.2,MIT,
Libraries,Capacitor,5.6.0,MIT,
Libraries,CapacitorCordova,5.6.0,MIT,
Libraries,capitalize,2.0.4,MIT,
Libraries,cardstack ethereum-node aws,,MIT,
Libraries,caribouhealth frontend-web-app aws,,MIT,
Libraries,carrete starterkit-mirror aws,,Unlicense,
Libraries,cased cased-shell-ecs aws,0.6.2,MIT,
Libraries,case-sensitive-paths-webpack-plugin,2.4.0,MIT,
Libraries,Cassette,2.4.2,MIT,
Libraries,cast,1.6.0,MIT,
Libraries,Castle.Core,5.1.1,Other,
Libraries,Castle.Core-log4net,5.0.0,,
Libraries,Castle.DynamicProxy,2.2.0,,
Libraries,Castle.LoggingFacility,6.0.0,,
Libraries,Castle.Windsor,6.0.0,Apache-2.0,
Libraries,catalystsquad catalyst-platform aws,1.5.0,Apache-2.0,
Libraries,cattrs,22.1.0,MIT,
Libraries,cchardet,2.1.7,MPL-2.0,
Libraries,ccliver kube-lab aws,,,
Libraries,cdproto,,MIT,
Libraries,cebollia acm-multiple-domains aws,1.0.1,,
Libraries,celery,5.4.0,BSD-3-Clause,
Libraries,centriascolocation security aws,,Apache-2.0,
Libraries,ceramicnetwork ceramic aws,3.3.3,,
Libraries,certifi,2018.01.18,MPL-2.0,
Libraries,certifi,2022.6.15,MPL-2.0,
Libraries,certonid certonid aws,,MIT,
Libraries,cex-solutions lambda-scheduler-ec2-stop-start aws,1.0.0,,
Libraries,cffi,1.15.1,MIT,
Libraries,cgetzen public-msk aws,,,
Libraries,cgk-ds-be databricks azurerm,,,
Libraries,cglib:cglib,3.3.0,Apache-2.0,
Libraries,cglib:cglib-nodep,3.3.0,Apache-2.0,
Libraries,ch.qos.logback:logback-access,1.2.11,"EPL-1.0,LGPL-2.1+",
Libraries,ch.qos.logback:logback-classic,1.2.11,"EPL-1.0,LGPL-2.1+",
Libraries,ch.qos.logback:logback-core,1.2.11,"EPL-1.0,LGPL-2.1+",
Libraries,Chai,5.1.1,MIT,
Libraries,chai-as-promised,8.0.0,WTFPL,
Libraries,chai-http,5.0.0,MIT,
Libraries,chainguard-dev chainguard-account-association aws,0.0.10,Apache-2.0,
Libraries,chai-passport-strategy,3.0.0,MIT,
Libraries,chai-spies,1.1.0,MIT,
Libraries,chai-string,1.5.0,MIT,
Libraries,chai-subset,1.6.0,MIT,
Libraries,chalk,5.3.0,MIT,
Libraries,chance,1.1.11,MIT,
Libraries,chandrasredevopslab wipcred google,,,
Libraries,change-case,5.4.3,MIT,
Libraries,chardet,5.2.0,LGPL-2.1,
Libraries,charset,,BSD-3-Clause,
Libraries,Chart.js,4.4.2,MIT,
Libraries,Chart.js,4.4.2,,Approved
Libraries,ChaserSystems discriminat-eni aws,2.6.1,Apache-2.0,
Libraries,chavo1 extensive-kitchen-terraform aws,,MIT,
Libraries,chavo1 kitchen-terraform-ec2 aws,1.6,MIT,
Libraries,check.v1,,,
Libraries,check-types,11.2.2,MIT,
Libraries,cheerio,1.0.0,MIT,
Libraries,chef,17.10.68,Apache-2.0,
Libraries,chgangaraju cloudfront-s3-website aws,,Apache-2.0,
Libraries,Chhed13 cd-on-ec2 aws,,MIT,
Libraries,Chhed13 consul-service aws,,MIT,
Libraries,Chhed13 nomad-service aws,,MIT,
Libraries,Chhed13 sns-to-slack aws,,MIT,
Libraries,chilicat aks-centos7-vmss azurerm,,Apache-2.0,
Libraries,chiraag-kakar mod_reuse aws,,,
Libraries,chokidar,3.6.0,MIT,
Libraries,chokidar-cli,3.0.0,MIT,
Libraries,ChotelalHans sampleProject azurerm,,,
Libraries,choudharyanurag eks-iamserviceaccount aws,,,
Libraries,chris-qa-org publii-hosting aws,1.2.1,MIT,
Libraries,christippett cloud-sql-pgbouncer google,,MIT,
Libraries,chriszhangusc load-balancer-controller aws,1.0.0,MIT,
Libraries,chromedriver,124.0.2,Apache-2.0,
Libraries,chroto serverless-react aws,,,
Libraries,ci_reporter_rspec,1.0.0,MIT,
Libraries,Cinegy cinegy-base aws,0.0.16,Apache-2.0,
Libraries,Cinegy cinegy-base-linvm aws,,,
Libraries,Cinegy cinegy-base-winvm aws,0.0.29,,
Libraries,circbuf,,MIT,
Libraries,circular-dependency-plugin,5.2.2,ISC,
Libraries,circular-json,0.5.9,MIT,
Libraries,cjoy s3-cloudflare-static-website aws,,,
Libraries,CKEditor,,,Restricted
Libraries,cladular blockchain-service-wrapper azurerm,,MIT,
Libraries,clang-format,1.8.0,Apache-2.0,
Libraries,clap,1.0.0,MIT,
Libraries,claque2000 tfbackend aws,1.2.0,MIT,
Libraries,claranet alb-cloudwatch-logs-json aws,,MIT,
Libraries,claranet alerting azurerm,,Apache-2.0,
Libraries,claranet api-management azurerm,,Apache-2.0,
Libraries,claranet app-service-web azurerm,,Apache-2.0,
Libraries,claranet asg-instance-alarms aws,,MIT,
Libraries,claranet asg-instance-replacement aws,,MIT,
Libraries,claranet aurora aws,,MIT,
Libraries,claranet autoscale azurerm,,Apache-2.0,
Libraries,claranet cosmos-db azurerm,,Apache-2.0,
Libraries,claranet db-maria azurerm,,Apache-2.0,
Libraries,claranet db-mysql azurerm,,Apache-2.0,
Libraries,claranet db-mysql-flexible azurerm,,Apache-2.0,
Libraries,claranet db-postgresql azurerm,,Apache-2.0,
Libraries,claranet db-postgresql-flexible azurerm,,Apache-2.0,
Libraries,claranet db-sql azurerm,,Apache-2.0,
Libraries,claranet diagnostic-settings azurerm,,Apache-2.0,
Libraries,claranet eipattach aws,2.0.0,MIT,
Libraries,claranet eventhub azurerm,,Apache-2.0,
Libraries,claranet front-door azurerm,,Apache-2.0,
Libraries,claranet function-app-single azurerm,,Apache-2.0,
Libraries,claranet keyvault azurerm,,Apache-2.0,
Libraries,claranet lambda aws,1.4.0,MIT,
Libraries,claranet linux-scaleset azurerm,,Apache-2.0,
Libraries,claranet packer-cleanup aws,,MIT,
Libraries,claranet rg azurerm,,Apache-2.0,
Libraries,claranet run-common azurerm,,Apache-2.0,
Libraries,claranet run-iaas azurerm,,Apache-2.0,
Libraries,claranet s3-yum-repo aws,,MIT,
Libraries,claranet signalr azurerm,,Apache-2.0,
Libraries,claranet ssm-patch-management aws,,MIT,
Libraries,claranet tagging azurerm,,Apache-2.0,
Libraries,claranet vm-logs azurerm,,Apache-2.0,
Libraries,claranet vpc-modules aws,1.1.1,MIT,
Libraries,classlist.js,1.1.20150312,PDDL-1.0,
Libraries,classnames,2.5.1,MIT,
Libraries,class-transformer,0.5.1,MIT,
Libraries,class-validator,0.14.1,MIT,
Libraries,clean-css,5.3.2,MIT,
Libraries,clean-css-cli,5.6.2,MIT,
Libraries,clean-webpack-plugin,4.0.0,MIT,
Libraries,clear,0.1.0,MIT,
Libraries,cli,1.0.1,MIT,
Libraries,clibot ecs-mongo aws,,,
Libraries,click,8.1.3,BSD-3-Clause,
Libraries,click-plugins,1.1.1,BSD-3-Clause,
Libraries,cli-color,2.0.4,ISC,
Libraries,client,3.5.15,Apache-2.0,
Libraries,client_model,0.6.1,Apache-2.0,
Libraries,cligj,0.7.2,BSD-3-Clause,
Libraries,clipboard,2.0.11,MIT,
Libraries,clipboard.js,,,Approved
Libraries,cli-table,0.3.11,MIT,
Libraries,cliui,8.0.1,ISC,
Libraries,clockwork,0.4.0,Apache-2.0,
Libraries,clone,2.1.2,MIT,
Libraries,ClosedXML,0.103.0,MIT,
Libraries,cloud3rsio elb-targetgroup aws,,Apache-2.0,
Libraries,Cloud-42 cloudwatch-metric-alarm aws,2,Apache-2.0,
Libraries,Cloud-42 codedeploy aws,2,Apache-2.0,
Libraries,Cloud-42 lambda-permission aws,2,Apache-2.0,
Libraries,cloudandthings clickops-notifier aws,5.0.4,MIT,
Libraries,cloudandthings costnotifier aws,3.2.0,MIT,
Libraries,cloudchacho hedwig-lambda-subscription aws,,Apache-2.0,
Libraries,cloudchacho hedwig-queue aws,,Apache-2.0,
Libraries,cloudchacho hedwig-queue-subscription aws,,Apache-2.0,
Libraries,cloudchacho hedwig-topic aws,,Apache-2.0,
Libraries,cloudchacho taskhawk-lambda aws,,Apache-2.0,
Libraries,cloudchacho taskhawk-queue aws,,Apache-2.0,
Libraries,clouddrove active-directory aws,1.0.1,Apache-2.0,
Libraries,clouddrove cloudwatch-alarms aws,1.3.0,Apache-2.0,
Libraries,clouddrove cloudwatch-event-rule aws,1.0.1,Apache-2.0,
Libraries,clouddrove ec2-autoscaling aws,1.3.0,Apache-2.0,
Libraries,clouddrove keypair aws,1.3.1,Apache-2.0,
Libraries,clouddrove lambda-site-monitor aws,1.0.1,Apache-2.0,
Libraries,clouddrove subnet aws,2.0.1,Apache-2.0,
Libraries,cloudfix cloudfix aws,,,
Libraries,cloudopsworks beanstalk-dns aws,,Apache-2.0,
Libraries,cloudopsworks beanstalk-version aws,,Apache-2.0,
Libraries,cloudopsworks helm aws,,Apache-2.0,
Libraries,cloudowski config-state aws,,Apache-2.0,
Libraries,cloudpickle,3.0.0,BSD-1-Clause,
Libraries,cloudposse acm-request-certificate aws,0.16.3,Apache-2.0,
Libraries,cloudposse alb-ingress aws,0.28.0,Apache-2.0,
Libraries,cloudposse alb-target-group-cloudwatch-sns-alarms aws,0.17.0,Apache-2.0,
Libraries,cloudposse cicd aws,0.20.0,Apache-2.0,
Libraries,cloudposse cloudfront-cdn aws,1.0.0,Apache-2.0,
Libraries,cloudposse cloudfront-s3-cdn aws,0.92.0,Apache-2.0,
